id,owner_id,top_comment_text
456242233,-220754053,Ура актив упал
456242222,-220754053,"Гошу уважаю за его откровенность, открытость,честность. Импонирует его отношение к жизни (опираясь на интервью). Шоу интересное тем, что откликаются некоторые моменты и есть расшифровка закрадравая."
456242221,-220754053,Очень стильно снято🔥🔥😞
456242208,-220754053,"Абрамов в этот раз дюже токсичный, однако"
456242206,-220754053,А что этот нытик Мазур там делает? Не попёрло?
456242202,-220754053,One
456242186,-220754053,Когда будет?)
456242177,-220754053,А он психолог?
456242173,-220754053,
456242171,-220754053,первая
456242168,-220754053,Первый сукаа
456242163,-220754053,Удачно зашёл
456242156,-220754053,А когда выпуск то?
456242153,-220754053,первый нах
456242154,-220754053,VK Видео- крутые. Процветания Вам!
456242151,-220754053,Такой артист. Но НЕ ВЕРЮ!
456242149,-220754053,9 минут блиат с момента выхода
456242133,-220754053,"Зачем эту хрю посадили в жюри , если она судит не честно ?! Всех армян выберет и всё! Пусть судит у себя в Армении , там хоть по объективнее будет наверное , а то уехала из « самой лучшей республики» и сидит в « так себе» России 🤷🏻‍♀️"
456242122,-220754053,пригласите Ивлева и Агзамова на такое шоу... пусть выяснят кто из них круче...
456242120,-220754053,Наша команда не сосет😝
456242116,-220754053,"Вот, импортозамещение, не плагиат нисколько. Хоть бы название сменили"
456242114,-220754053,Кайф
456242111,-220754053,Без вариантов!
456242106,-220754053,"круто 
я первый"
456242104,-220754053,Ждёмс! 😊
456242099,-220754053,
456242098,-220754053,Приятного просмотра
456242096,-220754053,Аааа!!! Какой кайф!!! Я в предвкушении!!! Это будет разрыв!!!
456242081,-220754053,"Ахаха Валера уже ведущий, вроде пару выпусков назад участник был 🤣"
456242079,-220754053,Ллл
456242074,-220754053,Привет я Пуська
456242073,-220754053,
456242055,-220754053,"Нееее, Журавль мы по старинке,хоть и с впн."
456242046,-220754053,Ну погнали смотреть как Марат побеждает
456242042,-220754053,"джарахов из кожи вон лезет ради проекта, заметил, конечно сплоченный)"
456242037,-220754053,Первый нах
456242038,-220754053,а выйдет когда?
456242035,-220754053,Первый выпуск?
456242033,-220754053,"скажите, а почему в приложении на андроид то появляется кнопка с клипами внизу, то исчезает"
456242026,-220754053,"Ну и где раздел для детей у вас , куда топать?"
456242017,-220754053,"Илюша - красавчик!!! Остальных на перемотке смотрел, особенно первую тройку."
456242016,-220754053,Когда Гурам уходил
456242013,-220754053,
456242005,-220754053,"Почему каждый раз когда случайно трогаешь экран на айфоне изображение съезжает?!?! Бесит максимально!!! Да и вообще нафига нужно изменять размер изображения хаотично???

Сделайте как работает в ютубе!"
456242000,-220754053,Взрослые люди... Эти рекомендации с вк шлак полный
456241998,-220754053,
456241993,-220754053,Я1
456241988,-220754053,
456241985,-220754053,😎
456241975,-220754053,Саундтрек ИК?
456241924,-220754053,первый
456241921,-220754053,Не смотрю из-за вечного надоедливого смеха дороха и постоянных его комментариев во время выступления участников.
456241915,-220754053,Каждую серию жду с нетерпением
456241914,-220754053,Какое же г..
456241910,-220754053,Я1
456241907,-220754053,✌
456241900,-220754053,"ураааа, бегу смотреть"
456241898,-220754053,Ждём!
456241894,-220754053,)))
456241890,-220754053,А ведущий это кто такой?
456241861,-220754053,"Люди, которые никогда не работали в офисе будут нам рассказывать об офисе."
456241854,-220754053,50👏🙏🏻
456241849,-220754053,А где полные видео
456241847,-220754053,Это что за??? И это смешно??? Весело??? Уродство!!!
456241844,-220754053,"воу, вот это состав жюри, Лешу Шальнова наконец-то позвали, поздравляю создателей битвы за время с выходом 2 сезона"
456241821,-220754053,Надеюсь экраны повесили ровно и мой перфекционист не будет отвлекаться на кривые пересечения) 🤗
456241820,-220754053,Ждал!!!
456241810,-220754053,👍
456241806,-220754053,
456241804,-220754053,"Крутой формат, выпустите, что-нибудь посмотреть в таком формате"
456241802,-220754053,🍷🪀🎾⚾️⚾️🥏⚾️🛷
456241799,-220754053,"А кнопку переключения следующего или предыдущего видео так и не получилось сделать? Господа, вы обратную связь собираете, что бы улучшить приложение, а по факту ничего не улучшаете."
456241772,-220754053,ИМБА
