id,owner_id,top_comment_text
456240177,-209976560,"Опа, 1 минуту назад ) Смотрим... приятного аппетита всем, не захлебнитесь чаем за просмотром )"
456240167,-209976560,"вот это состав, Пьеху наконец-то позвали в интернет шоу"
456240144,-209976560,"а почему они оправдываются, насчет интервью?"
456240131,-209976560,"Первый

ЗЫ навалили кринжа :D"
456240127,-209976560,Блин только за Рекламу Лайк !
456240121,-209976560,"Первый, получается)"
456240106,-209976560,"Это мы смотрим! Ещё бы на часик пораньше, к обеду"
456240100,-209976560,"Ты устала не потому что 35, а потому что тебе от самой себя душно и это псевдо-молодежное дергание лишь доказывает что единственный душный скуф в России это Зоя!!!!"
456240092,-209976560,Наконец то.
456240088,-209976560,"Кого-кого, а Отара вообще не ожидала увидеть. Круто.
Upd: Как и ожидалось, разъебал"
456240081,-209976560,"Шальной зачётный парень! Слава богу выпуск с ним, а не очередным тик-токером 👍"
456240076,-209976560,Почему на обложке нет Гороха? 😄
456240071,-209976560,Ля! Вот это долгожданное возвращение!! (жаль только опять эта Олеся..)
456240067,-209976560,"Ещё никогда 2 дня не были такими долгими, очень ждала вторую часть. Это восторг!"
456240064,-209976560,"Ну, привет )"
456240051,-209976560,Первый нах!
456240046,-209976560,Шальнов и Журавлик вместе какая-то атомная бомба... Бешеная синхронизация и взрыв юмора🔥
456240039,-209976560,Даша лучшая! Позовите её на ЧБД!
456240029,-209976560,Ура! Новый выпуск!👍😍
456240008,-209976560,"Серёже смешно что люди 6к зарабатывают, да Серёжа?)"
456240004,-209976560,Первый нах
456240000,-209976560,Классно очень жду
456239995,-209976560,А вот это интересненько😏
456239992,-209976560,"Попов, Антон Шастун и ещё там двое, я не помню 😂😂😂"
456239987,-209976560,Только не Милаш как же ужасно себя вела она в шоу кстати.🌚🌚
456239981,-209976560,Гляну
456239978,-209976560,🤌
456239972,-209976560,Более менее выпуск. Про Игоря смешно было. Запах складчиковой) но слишком много смеются сами над несмешными шутками
456239968,-209976560,Первый
456239963,-209976560,3:56 Тарковым почему то запахло)) кто вкурсе вопросы не будет задавать))
456239956,-209976560,Кирюхе даже не надо было играть - он всегда в волнительном состоянии
456239950,-209976560,Ура видос!!!
456239942,-209976560,"Пока не смотрела, но явно классно"
456239939,-209976560,Это очень смешно. Особенно у Артема)
456239936,-209976560,"Опять эта херота несмешная
Ну зачем?
Изначально не зашло, зачем это снимать?"
456239932,-209976560,контент делается 😈
456239928,-209976560,Выпуск просто ржачный🤣
456239925,-209976560,"уже давно не актуально, а эти все еще не наигрались"
456239922,-209976560,Сколько???
456239917,-209976560,Это мы смотрим
456239913,-209976560,xyeta🤮
456239910,-209976560,Ура. Не забросили это шоу
456239907,-209976560,Вижу Михееву ставлю лайк. Антидепрессантов Абрамову👍
456239903,-209976560,идея вам для нового шоу. «Кто ты?»Гости будут рассказывать кто они такие.
456239899,-209976560,Первый
456239896,-209976560,Наконец!
456239888,-209976560,"Когда участники уже, как родные, так интереснее"
456239885,-209976560,Я попозже посмотри. Как никак родной город
456239880,-209976560,
456239875,-209976560,А че за песня подскажите плиз
456239871,-209976560,Ого‼️Должно быть жарко ‼️
456239867,-209976560,Медвежат подбодри! Норм!)))
456239863,-209976560,Шаст💛
456239855,-209976560,"О, нормально зашёл я в подписки"
456239852,-209976560,Сапëр ты ваще с ума сошëл🤣🤣🤣
456239848,-209976560,"Минуту назад, я в шоке"
456239842,-209976560,"Дождался🎉 
Шоумен и его отличные гости делают пятницу гораздо лучше.
p.s. таких созвонов на каких-либо шоу я ещё не видел, нормально ""семья "" сработала)"
456239829,-209976560,Шастун прям в микрофон смеётся чтобы слышно было как он отрабатывает 🤡
456239823,-209976560,Как же это ВКУСНО снято. Режиссеру и всей его команде моё почтение.
456239820,-209976560,"Челики, асмр надо выпускать вечером, чтобы люди перед сном включили и уснули. вы шо. не шарите"
456239817,-209976560,ОО Жыгхуль. А шо эта ты в рекламе сымаесся
456239814,-209976560,Супер гости 😻
